ha_original,ha_atual,var_floresta,pasto_recente,lavoura_ativa_crops,mosaico_mapbiomas_c21,classe_risco
126.08,125.79,-0.29,2.38,0.0,0,2
56.68,56.8,0.12,0.62,0.0,0,2
105.47,104.47,-1.0,39.47,0.93,0,2
12.43,12.96,0.53,35.79,0.62,0,2
101.67,102.19,0.52,54.31,0.92,0,2
107.61,107.62,0.01,15.93,0.96,0,2
20.39,6.06,-14.33,44.17,0.96,0,1
91.71,91.8,0.09,1.32,0.0,0,2
51.79,51.85,0.06,1.67,0.0,0,2
122.08,123.37,1.29,0.52,15.38,1,0
71.91,44.84,-27.07,19.02,4.45,0,1
146.18,146.63,0.45,44.44,0.22,0,2
34.92,35.33,0.41,18.93,0.48,0,2
96.2,97.99,1.79,0.77,10.02,1,0
14.03,13.95,-0.08,1.89,0.0,0,2
36.26,24.88,-11.38,43.64,1.45,0,1
135.55,135.26,-0.29,1.87,0.0,0,2
30.34,30.62,0.28,27.89,0.89,0,1
100.99,100.34,-0.65,1.75,0.0,0,2
128.43,129.38,0.95,1.4,6.71,1,0
21.54,21.27,-0.27,46.75,0.55,0,2
117.23,117.31,0.08,37.64,0.05,0,2
33.89,33.85,-0.04,2.23,0.0,0,1
94.19,86.39,-7.8,20.55,2.36,0,1
118.66,104.91,-13.75,13.51,0.3,0,1
68.16,68.01,-0.15,27.51,0.56,0,2
108.7,109.67,0.97,0.0,15.4,1,0
130.67,100.97,-29.7,14.61,3.6,1,1
113.05,112.18,-0.87,51.06,0.33,0,2
63.74,53.81,-9.93,31.99,1.1,0,1
141.37,142.02,0.65,0.45,8.64,1,0
93.95,93.45,-0.5,50.11,0.48,0,2
15.44,15.25,-0.19,16.92,0.97,0,2
29.1,31.54,2.44,0.0,4.71,1,0
107.91,81.88,-26.03,28.15,4.78,1,1
77.26,77.2,-0.06,0.8,0.0,0,2
93.64,93.78,0.14,1.55,4.73,1,0
111.87,112.59,0.72,46.27,0.05,0,2
98.37,98.55,0.18,2.17,8.02,1,0
82.34,82.08,-0.26,1.45,0.0,0,1
91.08,85.41,-5.67,16.61,0.01,1,1
5.55,7.36,1.81,0.23,18.35,1,0
56.88,58.18,1.3,0.88,12.14,1,0
64.69,64.49,-0.2,18.81,0.78,0,2
146.33,112.63,-33.7,10.86,4.63,0,0
36.83,36.63,-0.2,37.17,0.89,0,2
109.69,110.39,0.7,0.14,8.97,1,0
121.41,112.92,-8.49,45.04,1.49,0,1
96.68,96.77,0.09,59.97,0.33,0,2
120.8,120.67,-0.13,33.81,0.98,0,2
68.15,68.55,0.4,2.68,0.0,0,2
76.72,42.77,-33.95,38.44,0.95,0,1
97.96,98.22,0.26,2.65,0.0,0,2
67.21,67.56,0.35,45.16,0.65,0,2
26.1,26.26,0.16,3.97,0.0,0,2
14.93,14.67,-0.26,29.19,0.87,0,2
33.91,34.37,0.46,2.14,0.0,0,2
95.12,65.71,-29.41,36.95,1.94,0,1
124.58,124.83,0.25,3.41,0.0,0,2
86.5,62.08,-24.42,29.14,1.94,1,1
63.52,63.62,0.1,0.98,3.25,1,0
129.4,128.97,-0.43,0.0,16.92,1,0
5.18,5.44,0.26,1.8,6.62,1,1
83.44,74.47,-8.97,47.55,1.68,0,1
43.28,44.04,0.76,0.85,10.17,1,0
56.25,57.5,1.25,0.83,16.65,1,0
39.66,40.02,0.36,0.39,9.85,1,0
99.5,73.61,-25.89,40.58,4.46,0,1
133.83,116.05,-17.78,22.6,4.49,0,1
103.54,105.0,1.46,1.21,7.16,1,0
48.97,30.15,-18.82,34.77,1.14,0,1
46.74,47.01,0.27,14.29,0.55,0,2
23.5,24.93,1.43,0.79,11.54,1,0
116.44,116.43,-0.01,3.34,0.0,0,2
84.73,84.73,0.0,0.0,0.0,0,2
5.99,5.57,-0.42,20.29,0.78,0,2
34.99,34.86,-0.13,28.5,0.64,0,2
60.42,61.44,1.02,0.98,7.86,1,0
89.55,53.99,-35.56,38.75,4.6,0,1
69.57,69.42,-0.15,3.04,0.0,0,2
107.32,107.99,0.67,1.07,0.0,0,1
99.31,99.37,0.06,1.74,9.95,1,0
13.69,13.95,0.26,2.15,0.0,0,0
123.38,123.2,-0.18,1.02,0.0,0,2
21.8,22.07,0.27,21.11,0.76,0,2
146.28,145.95,-0.33,0.78,11.31,1,0
128.99,95.98,-33.01,45.5,3.17,1,1
51.54,11.06,-40.48,18.89,0.53,0,1
13.79,14.16,0.37,38.18,0.24,0,2
128.51,130.14,1.63,1.78,4.77,1,0
147.82,148.0,0.18,31.56,0.28,0,2
44.4,44.73,0.33,1.39,0.0,0,2
6.25,5.86,-0.39,1.79,0.0,0,2
25.71,26.07,0.36,0.42,0.0,0,2
49.24,49.15,-0.09,45.91,0.88,0,2
23.46,24.97,1.51,1.32,10.48,1,0
146.27,146.39,0.12,29.54,0.12,0,2
53.25,54.85,1.6,0.0,20.0,1,0
47.23,42.92,-4.31,19.24,0.45,1,1
112.99,114.47,1.48,1.23,5.33,1,0
108.33,77.67,-30.66,49.61,2.03,1,1
126.31,93.41,-32.9,23.76,1.54,0,1
120.64,119.99,-0.65,49.61,0.44,0,2
142.24,142.94,0.7,3.52,0.0,0,2
72.8,59.7,-13.1,10.44,2.79,0,1
57.8,57.8,0.0,2.39,0.0,0,2
117.11,117.22,0.11,59.4,0.75,0,2
120.39,119.78,-0.61,2.18,0.0,0,2
47.82,48.39,0.57,31.7,0.29,0,2
101.14,100.55,-0.59,19.94,0.59,0,2
81.82,82.14,0.32,26.29,0.98,0,2
123.71,123.92,0.21,1.22,0.0,0,0
86.33,85.73,-0.6,52.8,0.98,0,2
79.56,80.03,0.47,1.29,0.0,0,0
58.29,58.65,0.36,0.0,0.0,0,2
22.46,23.12,0.66,0.3,0.0,0,1
49.33,50.14,0.81,51.58,0.17,0,2
109.86,109.89,0.03,29.71,0.11,0,2
90.59,90.42,-0.17,1.7,0.0,0,2
83.01,77.66,-5.35,11.54,2.61,0,1
54.72,56.13,1.41,0.52,14.88,1,0
115.23,103.89,-11.34,15.7,4.25,1,1
69.73,69.36,-0.37,47.88,0.1,0,2
66.69,68.75,2.06,1.28,7.96,1,0
24.45,24.31,-0.14,1.2,0.0,0,2
121.72,123.78,2.06,0.0,15.95,1,0
66.45,66.93,0.48,3.27,0.0,0,2
36.92,37.21,0.29,32.75,0.37,0,2
43.67,44.92,1.25,0.99,10.06,1,0
11.08,11.16,0.08,51.75,0.54,0,2
134.64,134.45,-0.19,0.75,0.0,0,2
10.67,13.07,2.4,0.15,16.01,1,0
125.81,108.54,-17.27,22.7,2.6,1,1
16.44,18.29,1.85,0.82,11.41,1,0
64.12,64.29,0.17,57.48,0.84,0,2
37.97,6.81,-31.16,42.03,0.02,0,1
49.19,23.21,-25.98,20.06,0.6,1,1
77.66,77.5,-0.16,38.02,0.72,0,2
38.88,38.72,-0.16,0.96,0.0,0,2
40.93,40.78,-0.15,41.77,0.42,0,2
91.83,91.74,-0.09,0.75,15.95,1,0
139.02,138.9,-0.12,0.0,0.0,0,2
115.84,115.85,0.01,19.94,0.52,0,2
94.81,95.56,0.75,2.77,0.0,0,2
53.47,52.85,-0.62,32.3,0.7,0,2
127.23,93.71,-33.52,14.68,3.2,1,1
120.76,92.55,-28.21,41.65,4.82,1,1
73.08,73.56,0.48,37.07,0.81,0,2
95.38,95.27,-0.11,44.82,0.59,0,2
29.72,29.71,-0.01,30.57,0.66,0,2
40.14,25.74,-14.4,44.09,4.69,0,1
124.02,124.06,0.04,50.85,0.19,0,2
6.46,6.33,-0.13,52.32,0.16,0,2
78.03,78.55,0.52,42.91,0.19,0,2
35.78,35.62,-0.16,0.84,20.13,1,0
76.99,78.72,1.73,0.11,5.54,1,0
29.27,29.75,0.48,58.1,0.38,0,1
24.4,25.25,0.85,0.56,2.7,1,0
148.26,136.65,-11.61,43.92,3.18,0,1
50.9,50.76,-0.14,43.76,0.57,0,2
45.33,45.27,-0.06,29.97,0.83,0,2
110.34,111.76,1.42,0.61,10.11,1,0
92.83,92.67,-0.16,25.58,0.73,0,2
109.32,109.17,-0.15,34.42,0.62,0,2
22.04,22.16,0.12,1.77,0.0,0,2
23.53,2.37,-21.16,22.96,0.67,1,1
44.98,45.16,0.18,0.21,0.0,0,2
67.75,31.03,-36.72,24.95,4.91,1,1
56.46,57.49,1.03,1.73,11.54,1,0
25.61,27.28,1.67,0.03,16.43,1,0
95.48,95.52,0.04,2.89,0.0,0,2
61.36,62.32,0.96,42.96,0.28,0,2
51.7,51.68,-0.02,25.09,0.17,0,2
132.54,133.18,0.64,0.76,0.0,0,2
91.55,76.22,-15.33,29.39,3.37,1,1
136.12,94.47,-41.65,26.46,0.82,0,1
36.35,37.36,1.01,1.44,5.11,1,0
100.24,100.65,0.41,38.18,0.06,0,2
63.76,64.47,0.71,0.0,0.0,0,2
128.8,128.51,-0.29,1.68,0.0,0,2
83.07,83.47,0.4,38.89,0.86,0,2
9.85,10.3,0.45,16.47,0.14,0,2
103.48,103.79,0.31,1.97,0.0,0,2
89.33,89.23,-0.1,40.12,0.53,0,2
26.07,25.11,-0.96,1.24,0.0,0,2
11.2,13.29,2.09,0.0,17.88,1,0
51.4,51.66,0.26,0.51,0.0,0,2
45.83,46.61,0.78,30.32,0.44,0,2
72.05,72.47,0.42,2.38,17.92,1,0
104.74,104.93,0.19,2.45,0.0,0,0
80.05,80.9,0.85,0.17,16.19,1,0
43.09,0.1,-42.99,34.09,4.8,1,1
70.88,70.84,-0.04,2.18,0.0,0,2
140.39,140.49,0.1,0.14,3.02,1,0
9.51,10.59,1.08,1.12,9.13,1,0
13.62,15.87,2.25,0.0,19.03,1,0
95.98,96.27,0.29,0.97,9.74,1,0
117.32,111.96,-5.36,45.88,3.54,1,2
51.4,52.41,1.01,0.04,9.55,1,0
65.26,66.81,1.55,0.0,11.48,1,0
111.42,95.01,-16.41,11.57,0.17,0,1
13.08,13.33,0.25,55.04,0.8,0,2
76.22,76.73,0.51,0.54,12.03,1,0
12.88,12.18,-0.7,37.48,0.84,0,2
85.43,85.0,-0.43,2.94,0.0,0,2
87.28,87.53,0.25,17.2,0.96,0,2
147.53,147.47,-0.06,25.53,0.63,0,2
59.31,60.72,1.41,0.3,2.58,1,0
25.17,26.87,1.7,1.72,21.07,1,0
92.62,74.54,-18.08,21.13,2.25,0,1
41.77,43.64,1.87,1.54,19.3,1,0
131.46,132.51,1.05,0.14,15.48,1,0
70.48,69.92,-0.56,38.28,0.25,0,2
49.55,49.62,0.07,1.76,0.0,0,2
16.16,15.67,-0.49,58.03,0.43,0,2
79.76,79.88,0.12,21.23,0.14,0,2
110.09,110.63,0.54,2.18,0.0,0,2
72.43,72.85,0.42,50.59,0.45,0,2
18.76,0.1,-18.66,44.75,4.41,1,1
122.12,118.51,-3.61,39.09,1.44,1,1
51.47,51.49,0.02,30.21,0.37,0,2
119.35,119.7,0.35,22.05,0.2,0,2
23.65,22.81,-0.84,0.28,0.0,0,2
137.56,137.89,0.33,0.0,14.61,1,0
112.82,114.35,1.53,0.0,5.85,1,0
7.67,0.1,-7.57,24.95,1.08,1,1
76.43,77.26,0.83,0.0,8.72,1,0
139.22,106.36,-32.86,45.85,0.58,1,1
148.72,113.86,-34.86,43.03,0.6,0,1
34.47,35.34,0.87,0.39,0.0,0,2
38.26,38.22,-0.04,2.49,0.0,0,2
132.49,106.83,-25.66,26.32,1.51,0,1
148.57,104.75,-43.82,10.57,1.62,0,1
14.72,7.83,-6.89,21.64,2.76,1,1
28.82,28.38,-0.44,29.82,0.02,0,2
10.14,0.1,-10.04,27.54,1.86,1,1
31.93,31.35,-0.58,0.59,0.0,0,2
117.52,116.97,-0.55,0.94,0.0,0,2
120.25,120.82,0.57,26.06,0.5,0,2
132.95,134.47,1.52,0.84,1.87,1,0
91.38,91.64,0.26,0.0,12.66,1,0
134.17,134.2,0.03,20.52,0.21,0,2
44.56,44.63,0.07,55.32,0.91,0,2
118.36,118.53,0.17,1.4,0.0,0,2
9.99,12.24,2.25,0.73,20.12,1,0
123.61,123.27,-0.34,19.3,0.33,0,2
111.27,110.46,-0.81,0.16,0.0,0,2
9.54,9.65,0.11,19.51,0.2,0,0
75.9,78.04,2.14,0.64,9.29,1,0
105.11,105.51,0.4,26.51,0.02,0,2
79.19,65.29,-13.9,17.89,1.05,0,1
119.11,102.21,-16.9,47.8,4.66,0,1
129.38,122.98,-6.4,23.65,0.8,1,1
127.08,129.02,1.94,0.0,12.9,1,2
41.61,37.81,-3.8,26.8,2.26,0,1
106.07,107.05,0.98,1.58,11.9,1,0
147.39,148.3,0.91,1.11,7.99,1,0
51.72,52.32,0.6,3.51,0.0,0,2
79.45,79.53,0.08,19.47,0.58,0,1
103.55,102.95,-0.6,18.98,0.92,0,2
36.97,37.6,0.63,1.49,11.01,1,0
123.32,123.08,-0.24,55.5,0.98,0,2
35.2,34.89,-0.31,1.09,0.0,0,2
22.67,0.1,-22.57,41.41,0.93,1,1
141.92,142.18,0.26,1.24,0.0,0,2
60.51,59.87,-0.64,1.69,0.0,0,1
132.08,133.9,1.82,1.07,7.87,1,0
141.02,125.56,-15.46,47.29,4.1,0,1
80.85,82.56,1.71,0.47,10.7,1,0
82.32,50.52,-31.8,20.88,0.95,1,1
95.82,95.01,-0.81,23.27,0.02,0,2
141.43,142.32,0.89,27.22,0.36,0,2
70.52,71.7,1.18,0.0,18.06,1,0
118.08,118.56,0.48,1.51,0.0,0,2
141.33,141.38,0.05,1.02,0.0,0,2
13.64,13.29,-0.35,45.59,0.62,0,2
21.46,4.67,-16.79,11.93,4.73,1,1
145.11,145.38,0.27,39.92,0.85,0,2
10.66,11.52,0.86,0.89,5.31,1,0
15.47,16.68,1.21,1.31,8.46,1,0
101.66,91.87,-9.79,42.01,1.88,1,1
134.33,134.38,0.05,60.06,0.75,0,2
88.88,88.53,-0.35,0.33,0.0,0,2
147.94,147.94,0.0,45.12,0.06,0,2
111.55,90.52,-21.03,46.47,1.6,0,1
142.26,124.87,-17.39,49.06,3.57,1,1
146.64,146.18,-0.46,16.0,0.97,0,2
21.36,21.51,0.15,0.79,0.0,0,2
125.34,125.02,-0.32,40.26,0.05,0,2
110.48,110.25,-0.23,1.47,0.0,0,2
21.73,21.41,-0.32,22.92,0.04,0,2
130.88,131.05,0.17,0.93,5.89,1,0
93.66,74.44,-19.22,33.44,2.53,1,1
96.98,96.61,-0.37,25.87,0.67,0,2
23.16,2.27,-20.89,14.95,4.83,1,1
37.78,37.76,-0.02,1.01,15.15,1,0
146.75,147.65,0.9,0.56,5.42,1,0
79.37,79.51,0.14,31.01,0.66,0,2
139.2,138.99,-0.21,1.71,0.0,0,2
140.14,140.55,0.41,0.23,4.11,1,0
59.63,59.79,0.16,52.67,0.47,0,2
146.12,145.87,-0.25,2.53,0.0,0,2
54.42,55.27,0.85,1.11,0.0,0,2
14.77,16.15,1.38,0.03,11.56,1,0
136.38,136.61,0.23,15.49,0.39,0,2
23.14,24.58,1.44,0.7,10.18,1,0
28.84,28.28,-0.56,0.0,2.87,1,0
78.57,80.4,1.83,0.0,11.11,1,0
25.2,0.1,-25.1,13.97,1.45,1,1
109.13,82.45,-26.68,46.66,0.36,0,1
43.77,43.41,-0.36,36.15,0.67,0,2
132.75,133.68,0.93,0.44,16.98,1,0
118.54,119.04,0.5,1.88,0.0,0,1
50.95,25.63,-25.32,43.19,3.64,0,1
130.0,129.2,-0.8,20.7,0.07,0,2
80.71,80.66,-0.05,2.3,0.0,0,2
130.86,130.83,-0.03,21.04,0.26,0,2
79.49,80.68,1.19,0.0,2.86,1,0
128.82,128.72,-0.1,1.36,0.0,0,2
64.56,25.11,-39.45,41.86,2.54,0,1
20.46,20.58,0.12,1.93,0.0,0,2
87.4,88.46,1.06,0.91,14.77,1,0
87.96,88.28,0.32,2.18,0.0,0,2
112.22,111.9,-0.32,2.58,0.0,0,2
137.28,138.33,1.05,1.71,8.3,1,0
15.01,15.82,0.81,0.94,19.48,1,0
135.6,136.01,0.41,35.43,0.84,0,2
54.27,55.59,1.32,0.21,6.74,1,0
66.01,65.96,-0.05,39.82,0.72,0,2
48.98,9.05,-39.93,23.04,4.34,1,1
17.36,17.75,0.39,0.0,14.32,1,0
66.59,66.23,-0.36,58.79,0.84,0,2
115.83,115.57,-0.26,37.4,0.01,0,2
39.24,39.01,-0.23,0.0,0.0,0,2
77.22,78.04,0.82,24.72,0.01,0,2
67.89,37.37,-30.52,32.06,0.21,1,1
22.67,0.1,-22.57,16.31,4.52,0,1
114.31,115.49,1.18,1.38,12.59,1,0
44.48,0.1,-44.38,17.3,3.58,0,1
135.5,135.15,-0.35,37.75,0.57,0,2
27.65,27.89,0.24,0.0,0.0,0,2
23.43,0.1,-23.33,28.19,0.24,1,1
80.86,80.92,0.06,0.0,0.0,0,2
111.75,91.0,-20.75,12.41,0.47,1,1
120.61,121.12,0.51,0.0,16.13,1,0
30.0,30.16,0.16,2.09,0.0,0,2
141.28,103.65,-37.63,45.8,2.48,1,1
147.27,147.47,0.2,2.55,0.0,0,2
107.45,79.02,-28.43,40.84,4.81,1,1
116.88,84.59,-32.29,16.78,4.51,1,1
56.52,56.17,-0.35,1.08,0.0,0,0
30.87,31.28,0.41,32.38,0.47,0,2
48.21,49.22,1.01,0.11,15.83,1,0
64.14,63.87,-0.27,51.38,0.19,0,0
90.0,90.35,0.35,41.52,0.1,0,2
66.99,66.76,-0.23,35.56,0.56,0,2
35.15,35.04,-0.11,3.47,0.0,0,0
148.48,110.58,-37.9,12.8,1.66,1,1
59.7,59.95,0.25,0.1,16.58,1,0
71.45,61.09,-10.36,36.74,1.03,0,2
110.22,98.58,-11.64,33.34,0.73,0,1
133.14,133.59,0.45,52.35,0.43,0,2
102.56,102.35,-0.21,2.37,0.0,0,0
46.25,47.01,0.76,22.59,0.32,0,2
42.95,43.42,0.47,0.0,14.14,1,0
27.71,27.99,0.28,1.84,9.33,1,0
96.68,96.75,0.07,0.49,0.0,0,2
23.8,0.1,-23.7,48.23,0.85,1,1
120.68,88.38,-32.3,35.77,1.64,0,1
121.21,121.26,0.05,24.1,0.56,0,2
59.1,16.18,-42.92,35.89,4.87,1,1
24.01,9.66,-14.35,34.41,4.37,1,1
109.74,109.46,-0.28,1.81,0.0,0,2
56.03,56.31,0.28,0.55,17.46,1,0
114.1,116.5,2.4,0.88,10.8,1,0
128.97,130.27,1.3,0.78,4.23,1,0
89.88,89.77,-0.11,1.84,0.0,0,2
124.71,124.29,-0.42,2.17,0.0,0,2
10.45,0.1,-10.35,41.07,2.98,1,0
149.24,151.2,1.96,2.12,5.99,1,0
41.24,40.61,-0.63,0.44,0.0,0,2
50.91,51.39,0.48,0.39,0.0,0,2
59.14,59.7,0.56,1.95,10.14,1,0
50.58,19.01,-31.57,20.34,4.1,1,1
7.42,0.1,-7.32,33.87,4.16,0,1
143.19,142.55,-0.64,41.99,0.07,0,2
129.81,105.07,-24.74,37.77,1.35,1,1
146.52,117.88,-28.64,24.25,0.91,0,0
33.27,33.25,-0.02,2.0,0.0,0,2
141.75,141.83,0.08,15.88,0.99,0,2
62.45,64.02,1.57,1.34,7.88,1,2
45.67,26.03,-19.64,41.44,4.95,0,1
35.32,17.67,-17.65,42.47,2.78,1,1
8.65,8.86,0.21,2.68,0.0,0,2
47.98,47.95,-0.03,26.63,0.46,0,2
52.05,30.88,-21.17,31.28,3.82,1,1
40.64,41.71,1.07,0.29,8.35,1,0
76.42,76.53,0.11,3.05,0.0,0,2
120.81,120.66,-0.15,1.6,0.0,0,2
43.06,31.18,-11.88,24.58,4.52,1,1
25.18,24.92,-0.26,1.51,0.0,0,2
128.32,100.32,-28.0,33.86,2.22,0,1
124.89,125.09,0.2,35.89,0.95,0,2
5.99,5.86,-0.13,32.02,0.75,0,2
130.04,131.54,1.5,1.04,7.19,1,1
89.35,89.14,-0.21,0.3,0.0,0,2
70.08,30.29,-39.79,32.02,1.72,0,1
128.92,128.76,-0.16,0.92,14.23,1,0
87.78,88.04,0.26,1.36,0.0,0,2
10.74,10.47,-0.27,40.95,0.02,0,2
108.44,63.84,-44.6,44.97,1.77,0,1
23.43,22.96,-0.47,1.95,0.0,0,2
117.41,85.69,-31.72,21.36,0.21,0,1
85.71,74.97,-10.74,27.49,3.34,1,1
125.25,125.08,-0.17,1.54,0.0,0,2
22.16,22.54,0.38,22.62,0.7,0,2
98.98,99.3,0.32,3.06,0.0,0,2
24.58,24.77,0.19,1.85,0.0,0,2
9.47,10.43,0.96,0.0,18.98,1,0
97.94,99.54,1.6,1.49,14.95,1,0
51.86,52.38,0.52,57.65,0.91,0,2
33.01,0.1,-32.91,45.64,1.71,0,1
80.42,79.92,-0.5,1.66,4.46,1,0
40.58,42.32,1.74,1.81,13.57,1,0
137.68,137.06,-0.62,0.57,0.0,0,2
70.59,71.7,1.11,1.45,16.38,1,0
13.39,13.46,0.07,24.78,0.46,0,2
95.78,95.67,-0.11,1.43,0.0,0,2
26.55,28.32,1.77,1.03,8.62,1,1
81.23,76.4,-4.83,14.4,0.77,0,1
11.98,11.54,-0.44,1.11,0.0,0,2
103.58,96.32,-7.26,30.37,4.13,1,1
111.1,111.03,-0.07,1.31,0.0,0,2
149.34,127.34,-22.0,47.88,0.88,0,1
101.83,67.83,-34.0,49.09,3.07,1,1
34.08,20.3,-13.78,37.81,2.66,1,1
111.0,111.65,0.65,1.7,6.65,1,0
102.26,73.47,-28.79,18.84,1.91,1,1
39.43,33.47,-5.96,17.45,4.61,1,1
